연번,주소,기하구조,관리부서
366,제주특별자치도 제주시 용담이동 746-1,4지형,교통정보센터
367,제주특별자치도 제주시 용담이동 751-68,3지형,교통정보센터
368,제주특별자치도 제주시 용담이동 2708-14,4지형,교통정보센터
369,제주특별자치도 제주시 용담이동 2680-12,단일로,교통정보센터
370,제주특별자치도 제주시 용담이동 2678-5,4지형,교통정보센터
371,제주특별자치도 제주시 용담이동 2678-12,3지형,교통정보센터
372,제주특별자치도 제주시 용담일동 306-2,단일로,교통정보센터
373,제주특별자치도 제주시 용담일동 284-5,4지형,교통정보센터
374,제주특별자치도 제주시 용담일동 132-6,단일로,교통정보센터
375,제주특별자치도 제주시 용담일동 129-1,단일로,교통정보센터
376,제주특별자치도 제주시 용담일동 121,4지형,교통정보센터
377,제주특별자치도 제주시 삼도이동 982-13,단일로,교통정보센터
378,제주특별자치도 제주시 일도일동 1145-17,단일로,교통정보센터
379,제주특별자치도 제주시 일도일동 1149-3,3지형,교통정보센터
380,제주특별자치도 제주시 일도이동 994-29,4지형,교통정보센터
381,제주특별자치도 제주시 일도이동 982-1,단일로,교통정보센터
382,제주특별자치도 제주시 건입동 1045-1,5지형,교통정보센터
383,제주특별자치도 제주시 일도이동 141-31,3지형,교통정보센터
384,제주특별자치도 제주시 건입동 561-9,3지형,교통정보센터
385,제주특별자치도 제주시 건입동 568-2,단일로,교통정보센터
386,제주특별자치도 제주시 일도이동 602-3,3지형,교통정보센터
387,제주특별자치도 제주시 건입동 657-9,4지형,교통정보센터
388,제주특별자치도 제주시 아라일동 6088,4지형,교통정보센터
