연번,주소,기하구조,관리부서
389,제주특별자치도 제주시 아라일동 6098,4지형,교통정보센터
390,제주특별자치도 제주시 아라일동 884-2,4지형,교통정보센터
391,제주특별자치도 제주시 아라이동 1541-2,3지형,교통정보센터
392,제주특별자치도 제주시 아라일동 6135,4지형,교통정보센터
393,제주특별자치도 제주시 아라일동 6127-5,4지형,교통정보센터
394,제주특별자치도 제주시 영평동 2458-1,3지형,교통정보센터
395,제주특별자치도 제주시 영평동 1830-12,3지형,교통정보센터
396,제주특별자치도 제주시 영평동 1877-7,3지형,교통정보센터
397,제주특별자치도 제주시 영평동 2008-8,3지형,교통정보센터
398,제주특별자치도 제주시 영평동 2037-16,4지형,교통정보센터
399,제주특별자치도 제주시 영평동 2146-3,4지형,교통정보센터
400,제주특별자치도 제주시 영평동 2165-2,3지형,교통정보센터
401,제주특별자치도 제주시 영평동 2169-10,4지형,교통정보센터
402,제주특별자치도 제주시 영평동 2180,4지형,교통정보센터
403,제주특별자치도 제주시 영평동 2187-1,4지형,교통정보센터
404,제주특별자치도 제주시 영평동 2187-6(건너편),3지형,교통정보센터
405,제주특별자치도 제주시 영평동 2238,3지형,교통정보센터
406,제주특별자치도 제주시 월평동 717-2,3지형,교통정보센터
407,제주특별자치도 제주시 이도이동 1994-2,4지형,교통정보센터
408,제주특별자치도 제주시 이도이동 1972-1,4지형,교통정보센터
409,제주특별자치도 제주시 이도이동 438,4지형,교통정보센터
410,제주특별자치도 제주시 일도이동 109-20,4지형,교통정보센터
411,제주특별자치도 제주시 이도이동 271-1,단일로,교통정보센터
412,제주특별자치도 제주시 일도이동 113-7,4지형,교통정보센터
413,제주특별자치도 제주시 아라이동 3014-10,3지형,교통정보센터
414,제주특별자치도 제주시 아라이동 3003-9,3지형,교통정보센터
415,제주특별자치도 제주시 이도이동 1951-1,3지형,교통정보센터
416,제주특별자치도 제주시 이도이동 1951-10,3지형,교통정보센터
417,제주특별자치도 제주시 영평동 2673-2,3지형,교통정보센터
418,제주특별자치도 제주시 도남동 737-3,3지형,교통정보센터
419,제주특별자치도 제주시 도남동 749,3지형,교통정보센터
420,제주특별자치도 제주시 도남동 663-16(건너편),3지형,교통정보센터
421,제주특별자치도 제주시 도남동 126-6,3지형,교통정보센터
422,제주특별자치도 제주시 도남동 747-1,3지형,교통정보센터
423,제주특별자치도 제주시 이도이동 2033,3지형,교통정보센터
424,제주특별자치도 제주시 이도이동 1925,4지형,교통정보센터
425,제주특별자치도 제주시 이도이동 2034-9,4지형,교통정보센터
426,제주특별자치도 제주시 이도이동 2038,3지형,교통정보센터
427,제주특별자치도 제주시 이도이동 2043-6,3지형,교통정보센터
428,제주특별자치도 제주시 화북일동 12-2,단일로,교통정보센터
429,제주특별자치도 제주시 화북일동 1054-15,3지형,교통정보센터
430,제주특별자치도 제주시 화북일동 1004-3,4지형,교통정보센터
431,제주특별자치도 제주시 도련일동 1938-2,4지형,교통정보센터
432,제주특별자치도 제주시 삼양이동 2315,단일로,교통정보센터
433,제주특별자치도 제주시 삼양이동 2332-2,4지형,교통정보센터
434,제주특별자치도 제주시 도련이동 532-11,3지형,교통정보센터
435,제주특별자치도 제주시 삼양이동 1472-1,3지형,교통정보센터
436,제주특별자치도 제주시 화북이동 969-5,4지형,교통정보센터
437,제주특별자치도 제주시 화북일동 1023-2,4지형,교통정보센터
438,제주특별자치도 제주시 화북일동 1012-2,단일로,교통정보센터
439,제주특별자치도 제주시 도련일동 1978-4,4지형,교통정보센터
440,제주특별자치도 제주시 도련일동 1895-1,단일로,교통정보센터
441,제주특별자치도 제주시 도련이동 550,3지형,교통정보센터
442,제주특별자치도 제주시 도련일동 1895-1,단일로,교통정보센터
443,제주특별자치도 제주시 조천읍 신촌리 3097-9,단일로,교통정보센터
444,제주특별자치도 제주시 조천읍 신촌리 2602-4,3지형,교통정보센터
445,제주특별자치도 제주시 조천읍 신촌리 3164-2,3지형,교통정보센터
446,제주특별자치도 제주시 조천읍 신촌리 3160-16,3지형,교통정보센터
447,제주특별자치도 제주시 조천읍 신촌리 2617-1,3지형,교통정보센터
448,제주특별자치도 제주시 조천읍 신촌리 2608-4,4지형,교통정보센터
449,제주특별자치도 제주시 조천읍 신촌리 1737-5,4지형,교통정보센터
450,제주특별자치도 제주시 조천읍 신촌리 690-3,4지형,교통정보센터
451,제주특별자치도 제주시 조천읍 조천리 2307-3,5지형,교통정보센터
452,제주특별자치도 제주시 조천읍 조천리 1353-2,4지형,교통정보센터
453,제주특별자치도 제주시 조천읍 조천리 606-1,3지형,교통정보센터
454,제주특별자치도 제주시 조천읍 조천리 669-1,3지형,교통정보센터
455,제주특별자치도 제주시 조천읍 함덕리 3628-1,4지형,교통정보센터
456,제주특별자치도 제주시 조천읍 함덕리 3592-3,단일로,교통정보센터
457,제주특별자치도 제주시 조천읍 함덕리 2790-4,4지형,교통정보센터
458,제주특별자치도 제주시 조천읍 함덕리 2810-1,4지형,교통정보센터
459,제주특별자치도 제주시 조천읍 함덕리 1555-1,4지형,교통정보센터
460,제주특별자치도 제주시 조천읍 함덕리 1577-1,4지형,교통정보센터
461,제주특별자치도 제주시 조천읍 함덕리 916-1,4지형,교통정보센터
462,제주특별자치도 제주시 조천읍 함덕리 72-156,4지형,교통정보센터
463,제주특별자치도 제주시 조천읍 함덕리 287-2,단일로,교통정보센터
464,제주특별자치도 제주시 조천읍 함덕리 4148-7,4지형,교통정보센터
465,제주특별자치도 제주시 조천읍 함덕리 272-63,4지형,교통정보센터
466,제주특별자치도 제주시 조천읍 북촌리 1563-4,3지형,교통정보센터
467,제주특별자치도 제주시 조천읍 북촌리 1255,3지형,교통정보센터
468,제주특별자치도 제주시 조천읍 북촌리 626-5,3지형,교통정보센터
469,제주특별자치도 제주시 조천읍 북촌리 360-5,단일로,교통정보센터
470,제주특별자치도 제주시 구좌읍 동복리 1650-2,3지형,교통정보센터
471,제주특별자치도 제주시 조천읍 신촌리 2682-2,4지형,교통정보센터
472,제주특별자치도 제주시 조천읍 신촌리 2715-6,4지형,교통정보센터
473,제주특별자치도 제주시 조천읍 신촌리 1661-6,4지형,교통정보센터
474,제주특별자치도 제주시 조천읍 조천리 2061-5,4지형,교통정보센터
475,제주특별자치도 제주시 조천읍 조천리 1610-2,4지형,교통정보센터
476,제주특별자치도 제주시 조천읍 조천리 1515-36,4지형,교통정보센터
477,제주특별자치도 제주시 조천읍 함덕리 4066-8,4지형,교통정보센터
478,제주특별자치도 제주시 조천읍 함덕리 2454-5,4지형,교통정보센터
479,제주특별자치도 제주시 조천읍 함덕리 1748-4,4지형,교통정보센터
480,제주특별자치도 제주시 조천읍 함덕리 830-4,4지형,교통정보센터
481,제주특별자치도 제주시 조천읍 함덕리 71-4,4지형,교통정보센터
482,제주특별자치도 제주시 조천읍 북촌리 1830-2,4지형,교통정보센터
483,제주특별자치도 제주시 조천읍 북촌리 874-1,4지형,교통정보센터
484,제주특별자치도 제주시 조천읍 북촌리 740-48,4지형,교통정보센터
485,제주특별자치도 제주시 조천읍 북촌리 205-1,4지형,교통정보센터
486,제주특별자치도 제주시 구좌읍 동복리 1696-16,4지형,교통정보센터
487,제주특별자치도 제주시 구좌읍 동복리 1429-7,4지형,교통정보센터
488,제주특별자치도 제주시 구좌읍 동복리 1359-6,4지형,교통정보센터
489,제주특별자치도 제주시 구좌읍 동복리 1348,단일로,교통정보센터
490,제주특별자치도 제주시 구좌읍 동복리 757-10,3지형,교통정보센터
491,제주특별자치도 제주시 구좌읍 김녕리 4196,3지형,교통정보센터
492,제주특별자치도 제주시 구좌읍 김녕리 4167,3지형,교통정보센터
493,제주특별자치도 제주시 구좌읍 김녕리 2546,4지형,교통정보센터
494,제주특별자치도 제주시 구좌읍 김녕리 1788-6,4지형,교통정보센터
495,제주특별자치도 제주시 구좌읍 김녕리 1768-1,3지형,교통정보센터
496,제주특별자치도 제주시 구좌읍 김녕리 365,3지형,교통정보센터
497,제주특별자치도 제주시 구좌읍 월정리 1823-4,4지형,교통정보센터
498,제주특별자치도 제주시 구좌읍 월정리 214-6,3지형,교통정보센터
499,제주특별자치도 제주시 구좌읍 월정리 224-10,3지형,교통정보센터
500,제주특별자치도 제주시 구좌읍 행원리 1180-2,4지형,교통정보센터
501,제주특별자치도 제주시 구좌읍 한동리 4849-11,3지형,교통정보센터
502,제주특별자치도 제주시 구좌읍 한동리 1536-1,3지형,교통정보센터
503,제주특별자치도 제주시 구좌읍 한동리 1064-4,4지형,교통정보센터
504,제주특별자치도 제주시 구좌읍 한동리 1182-2,4지형,교통정보센터
505,제주특별자치도 제주시 구좌읍 한동리 34-2,4지형,교통정보센터
506,제주특별자치도 제주시 구좌읍 평대리 649-9,4지형,교통정보센터
507,제주특별자치도 제주시 구좌읍 평대리 157-3,3지형,교통정보센터
508,제주특별자치도 제주시 구좌읍 세화리 1553-5,3지형,교통정보센터
509,제주특별자치도 제주시 구좌읍 세화리 1305-4,4지형,교통정보센터
510,제주특별자치도 제주시 구좌읍 세화리 1283-2,단일로,교통정보센터
511,제주특별자치도 제주시 구좌읍 세화리 63-1,4지형,교통정보센터
512,제주특별자치도 제주시 구좌읍 하도리 2751-3,3지형,교통정보센터
513,제주특별자치도 제주시 구좌읍 하도리 2705-11,단일로,교통정보센터
514,제주특별자치도 제주시 구좌읍 하도리 2265-6,3지형,교통정보센터
515,제주특별자치도 제주시 구좌읍 하도리 산11,4지형,교통정보센터
516,제주특별자치도 제주시 구좌읍 종달리 2742-1,4지형,교통정보센터
517,제주특별자치도 제주시 구좌읍 종달리 1869-5,4지형,교통정보센터
518,제주특별자치도 제주시 구좌읍 종달리 2004-2,3지형,교통정보센터
519,제주특별자치도 제주시 조천읍 교래리 산25,4지형,교통정보센터
520,제주특별자치도 제주시 봉개동 산53,3지형,교통정보센터
521,제주특별자치도 제주시 조천읍 교래리 산60-5,4지형,교통정보센터
522,제주특별자치도 제주시 구좌읍 송당리 1572-11,4지형,교통정보센터
523,제주특별자치도 제주시 외도일동 2023-5,3지형,교통정보센터
524,제주특별자치도 제주시 건입동 674,3지형,교통정보센터
525,제주특별자치도 제주시 노형동 3598-2,단일로,교통정보센터
526,제주특별자치도 제주시 삼도이동 1261-15,단일로,교통정보센터
527,제주특별자치도 제주시 건입동 1388-12,단일로,교통정보센터
528,제주특별자치도 제주시 건입동 882-11,단일로,교통정보센터
529,제주특별자치도 제주시 애월읍 곽지리 1666-2,단일로,교통정보센터
530,제주특별자치도 제주시 일도이동 113-8,단일로,교통정보센터
531,제주특별자치도 제주시 회천동 1781-6,단일로,교통정보센터
532,제주특별자치도 제주시 이도일동 1789-5,단일로,교통정보센터
533,제주특별자치도 제주시 삼양일동 1256-1,단일로,교통정보센터
534,제주특별자치도 제주시 도련일동 1911,4지형,교통정보센터
535,제주특별자치도 제주시 구좌읍 종달리 1838-3,단일로,교통정보센터
536,제주특별자치도 제주시 구좌읍 평대리 1828-2,4지형,교통정보센터
537,제주특별자치도 제주시 일도이동 140,단일로,교통정보센터
538,제주특별자치도 제주시 영평동 2742-3,단일로,교통정보센터
539,제주특별자치도 제주시 영평동 1918-1,3지형,교통정보센터
540,제주특별자치도 제주시 영평동 2662-12,4지형,교통정보센터
541,제주특별자치도 제주시 구좌읍 하도리 2252-2,단일로,교통정보센터
542,제주특별자치도 제주시 구좌읍 종달리 1659-43,3지형,교통정보센터
543,제주특별자치도 제주시 일도일동 1385-3,단일로,교통정보센터
544,제주특별자치도 제주시 노형동 732-2,단일로,교통정보센터
545,제주특별자치도 제주시 연동 1478,단일로,교통정보센터
546,제주특별자치도 제주시 월평동 480-1,4지형,교통정보센터
547,제주특별자치도 제주시 용강동 848-3,4지형,교통정보센터
548,제주특별자치도 제주시 삼도이동 1227-8,3지형,교통정보센터
549,제주특별자치도 제주시 이호이동 115-3,4지형,교통정보센터
550,제주특별자치도 제주시 한경면 저지리 1521-8,4지형,교통정보센터
551,제주특별자치도 제주시 용담이동 2708-3,단일로,교통정보센터
552,제주특별자치도 제주시 봉개동 2647-2,단일로,교통정보센터
553,제주특별자치도 제주시 조천읍 북촌리 694-6,3지형,교통정보센터
554,제주특별자치도 제주시 아라일동 376-2,3지형,교통정보센터
555,제주특별자치도 제주시 아라일동 2377-3,3지형,교통정보센터
556,제주특별자치도 제주시 도련일동 1972-1,단일로,교통정보센터
557,제주특별자치도 제주시 구좌읍 동복리 1706-8,3지형,교통정보센터
558,제주특별자치도 제주시 구좌읍 김녕리 3343,3지형,교통정보센터
559,제주특별자치도 제주시 용담일동 232-1,단일로,교통정보센터
560,제주특별자치도 제주시 구좌읍 하도리 1220-2,3지형,교통정보센터
561,제주특별자치도 제주시 구좌읍 상도리 466-6,4지형,교통정보센터
562,제주특별자치도 제주시 애월읍 애월리 1451-1,4지형,교통정보센터
563,제주특별자치도 제주시 삼도이동 902-2,단일로,교통정보센터
564,제주특별자치도 제주시 노형동 1534,3지형,교통정보센터
565,제주특별자치도 제주시 오등동 626-5,4지형,교통정보센터
566,제주특별자치도 제주시 일도이동 993-11,단일로,교통정보센터
567,제주특별자치도 제주시 이도이동 415-5,단일로,교통정보센터
568,제주특별자치도 제주시 구좌읍 하도리 2321-3,단일로,교통정보센터
569,제주특별자치도 제주시 아라이동 945-1,4지형,교통정보센터
570,제주특별자치도 제주시 도평동 15-3,단일로,교통정보센터
571,제주특별자치도 제주시 연동 2476,4지형,교통정보센터
572,제주특별자치도 제주시 봉개동 2579-2,단일로,교통정보센터
573,제주특별자치도 제주시 도두이동 50-3,3지형,교통정보센터
574,제주특별자치도 제주시 도두이동 353-3,4지형,교통정보센터
575,제주특별자치도 제주시 도두이동 1161-8,4지형,교통정보센터
576,제주특별자치도 제주시 도련일동 1586-5,4지형,교통정보센터
577,제주특별자치도 제주시 도련일동 1215-1,3지형,교통정보센터
578,제주특별자치도 제주시 영평동 2763-1,단일로,교통정보센터
579,제주특별자치도 제주시 오라이동 1212-1,단일로,교통정보센터
580,제주특별자치도 제주시 오라삼동 2271-7,4지형,교통정보센터
581,제주특별자치도 제주시 오라삼동 2744-1,3지형,교통정보센터
582,제주특별자치도 제주시 구좌읍 월정리 1831-1,3지형,교통정보센터
583,제주특별자치도 제주시 내도동 577-2,단일로,교통정보센터
584,제주특별자치도 제주시 일도2동 153-5,단일로,교통정보센터
585,제주특별자치도 제주시 도련일동 1977-5,4지형,교통정보센터
586,제주특별자치도 제주시 한림읍 협재리 2472-1,단일로,교통정보센터
587,제주특별자치도 제주시 애월읍 하귀2리 1750-3,단일로,교통정보센터
588,제주특별자치도 제주시 영평동 2450-14,4지형,교통정보센터
589,제주특별자치도 제주시 조천읍 신촌리 1830-4,단일로,교통정보센터
590,제주특별자치도 제주시 조천읍 함덕리 4157,4지형,교통정보센터
591,제주특별자치도 제주시 도평동 23-1,4지형,교통정보센터
592,제주특별자치도 제주시 한림읍 한림리 1471-7,단일로,교통정보센터
593,제주특별자치도 제주시 연동 1510-5,단일로,교통정보센터
594,제주특별자치도 제주시 노형동 1243-15,4지형,교통정보센터
595,제주특별자치도 제주시 용담이동 881-25,단일로,교통정보센터
596,제주특별자치도 제주시 용담이동 850,단일로,교통정보센터
597,제주특별자치도 제주시 오라이동 885-1,3지형,교통정보센터
598,제주특별자치도 제주시 한림읍 귀덕리 1173,단일로,교통정보센터
599,제주특별자치도 제주시 도두이동 371-2,3지형,교통정보센터
600,제주특별자치도 제주시 해안동 1975-7,단일로,교통정보센터
601,제주특별자치도 제주시 연동 301-1,단일로,교통정보센터
602,제주특별자치도 제주시 이도일동 1260-13,단일로,교통정보센터
603,제주특별자치도 제주시 건입동 918-56,3지형,교통정보센터
604,제주특별자치도 제주시 아라일동 370-13,3지형,교통정보센터
605,제주특별자치도 제주시 조천읍 교래리 385-7,3지형,교통정보센터
606,제주특별자치도 제주시 한림읍 한림리 398-1,4지형,교통정보센터
607,제주특별자치도 제주시 한림읍 동명리 663,3지형,교통정보센터
608,제주특별자치도 제주시 구좌읍 김녕리 1702-1,단일로,교통정보센터
609,제주특별자치도 제주시 아라일동 6099,단일로,교통정보센터
610,제주특별자치도 제주시 조천읍 대흘리 1654-5,단일로,교통정보센터
611,제주특별자치도 제주시 구좌읍 동복로 68-1,단일로,교통정보센터
612,제주특별자치도 제주시 화북일동 1221-13,단일로,교통정보센터
613,제주특별자치도 제주시 조천읍 조천리 3147-7,단일로,교통정보센터
614,제주특별자치도 제주시 연동 293-36,단일로,교통정보센터
615,제주특별자치도 제주시 한경면 신창리 1077-5,3지형,교통정보센터
616,제주특별자치도 제주시 구좌읍 월정리 130-13,단일로,교통정보센터
617,제주특별자치도 제주시 구좌읍 세화리 1393-4,단일로,교통정보센터
618,제주특별자치도 제주시 구좌읍 송당리 1261-1,단일로,교통정보센터
619,제주특별자치도 제주시 구좌읍 송당리 1363,단일로,교통정보센터
620,제주특별자치도 제주시 한림읍 대림리 1147-2,단일로,교통정보센터
621,제주특별자치도 제주시 애월읍 봉성리 3820-8,단일로,교통정보센터
622,제주특별자치도 제주시 용담일동 251-22,단일로,교통정보센터
623,제주특별자치도 제주시 오라이동 966-1,3지형,교통정보센터
624,제주특별자치도 제주시 삼도2동 54,단일로,교통정보센터
625,제주특별자치도 제주시 용담2동 647-5,단일로,교통정보센터
626,제주특별자치도 제주시 일도1동 1476-49,단일로,교통정보센터
627,제주특별자치도 제주시 월평동 1355-3,4지형,교통정보센터
628,제주특별자치도 제주시 아라2동 3012-80,단일로,교통정보센터
629,제주특별자치도 제주시 연동 324-19,단일로,교통정보센터
630,제주특별자치도 제주시 한림읍 동명리 783-1,단일로,교통정보센터
631,제주특별자치도 제주시 오라삼동 2995-6,4지형,교통정보센터
632,제주특별자치도 제주시 오라2동 957-9,4지형,교통정보센터
633,제주특별자치도 제주시 하귀1리 745-4번지,3지형,교통정보센터
634,제주특별자치도 제주시 조천읍 교래리 559-2,단일로,교통정보센터
635,제주특별자치도 제주시 삼양이동 2181-33,4지형,교통정보센터
636,제주특별자치도 제주시 삼양이동 2181-27,단일로,교통정보센터
637,제주특별자치도 제주시 애월읍 애월로 151,3지형,교통정보센터
638,제주특별자치도 제주시 한경면 청수리 417-2,단일로,교통정보센터
639,제주특별자치도 제주시 용담이동 599-4,3지형,교통정보센터
640,제주특별자치도 서귀포시 서홍동 441-17,4지형,교통정보센터
641,제주특별자치도 서귀포시 서귀동 287-3,3지형,교통정보센터
642,제주특별자치도 서귀포시 서귀동 283-38,4지형,교통정보센터
643,제주특별자치도 서귀포시 동홍동 1503-11,단일로,교통정보센터
644,제주특별자치도 서귀포시 동홍동 1539-5,단일로,교통정보센터
645,제주특별자치도 서귀포시 동홍동 447-2,4지형,교통정보센터
646,제주특별자치도 서귀포시 동홍동 120-7,4지형,교통정보센터
647,제주특별자치도 서귀포시 동홍동 130-1,4지형,교통정보센터
648,제주특별자치도 서귀포시 토평동 825-5,5지형,교통정보센터
649,제주특별자치도 서귀포시 토평동 853-1,단일로,교통정보센터
650,제주특별자치도 서귀포시 토평동 1046-2,4지형,교통정보센터
651,제주특별자치도 서귀포시 토평동 241-2,4지형,교통정보센터
652,제주특별자치도 서귀포시 하효동 151-2,단일로,교통정보센터
653,제주특별자치도 서귀포시 신효동 918-1,4지형,교통정보센터
654,제주특별자치도 서귀포시 하효동 755-4,3지형,교통정보센터
655,제주특별자치도 서귀포시 하효동 631-6,4지형,교통정보센터
656,제주특별자치도 서귀포시 하효동 674-1,4지형,교통정보센터
657,제주특별자치도 서귀포시 하효동 281-3,3지형,교통정보센터
658,제주특별자치도 서귀포시 남원읍 하례리 330-2,4지형,교통정보센터
659,제주특별자치도 서귀포시 남원읍 하례리 322,단일로,교통정보센터
660,제주특별자치도 서귀포시 남원읍 하례리 314-1,3지형,교통정보센터
661,제주특별자치도 서귀포시 남원읍 신례리 2191-15,4지형,교통정보센터
662,제주특별자치도 서귀포시 남원읍 위미리 4114-2,3지형,교통정보센터
663,제주특별자치도 서귀포시 남원읍 위미리 3263-6,3지형,교통정보센터
664,제주특별자치도 서귀포시 남원읍 위미리 3111,단일로,교통정보센터
665,제주특별자치도 서귀포시 남원읍 위미리 3325-12,4지형,교통정보센터
666,제주특별자치도 서귀포시 남원읍 위미리 2795,4지형,교통정보센터
667,제주특별자치도 서귀포시 남원읍 위미리 1967-7,4지형,교통정보센터
668,제주특별자치도 서귀포시 남원읍 위미리 4600-1,4지형,교통정보센터
669,제주특별자치도 서귀포시 남원읍 위미리 257-3,4지형,교통정보센터
670,제주특별자치도 서귀포시 남원읍 남원리 1534-2,4지형,교통정보센터
671,제주특별자치도 서귀포시 남원읍 남원리 1253-22,4지형,교통정보센터
672,제주특별자치도 서귀포시 남원읍 남원리 162-17,4지형,교통정보센터
673,제주특별자치도 서귀포시 남원읍 남원리 225-12,4지형,교통정보센터
674,제주특별자치도 서귀포시 남원읍 남원리 7-5,4지형,교통정보센터
675,제주특별자치도 서귀포시 남원읍 태흥리 1710-3,4지형,교통정보센터
676,제주특별자치도 서귀포시 남원읍 태흥리 1296-3,4지형,교통정보센터
677,제주특별자치도 서귀포시 남원읍 태흥리 909-1,4지형,교통정보센터
678,제주특별자치도 서귀포시 남원읍 태흥리 587-3,4지형,교통정보센터
679,제주특별자치도 서귀포시 남원읍 태흥리 304-1,4지형,교통정보센터
680,제주특별자치도 서귀포시 남원읍 태흥리 358-2,3지형,교통정보센터
681,제주특별자치도 서귀포시 남원읍 태흥리 121-5,3지형,교통정보센터
682,제주특별자치도 서귀포시 남원읍 신흥리 174-1,단일로,교통정보센터
683,제주특별자치도 서귀포시 남원읍 신흥리 166-1,4지형,교통정보센터
684,제주특별자치도 서귀포시 남원읍 신흥리 114,단일로,교통정보센터
685,제주특별자치도 서귀포시 표선면 토산리 439-7,3지형,교통정보센터
686,제주특별자치도 서귀포시 표선면 토산리 428-3,4지형,교통정보센터
687,제주특별자치도 서귀포시 표선면 토산리 72-3,3지형,교통정보센터
688,제주특별자치도 서귀포시 표선면 토산리 63-1,3지형,교통정보센터
689,제주특별자치도 서귀포시 표선면 세화리 1522-7,3지형,교통정보센터
690,제주특별자치도 서귀포시 표선면 세화리 303-6,4지형,교통정보센터
691,제주특별자치도 서귀포시 표선면 표선리 2925-4,3지형,교통정보센터
692,제주특별자치도 서귀포시 표선면 표선리 2430-2,3지형,교통정보센터
693,제주특별자치도 서귀포시 표선면 표선리 2165-5,4지형,교통정보센터
694,제주특별자치도 서귀포시 표선면 표선리 2070,4지형,교통정보센터
695,제주특별자치도 서귀포시 표선면 표선리 307-1,4지형,교통정보센터
696,제주특별자치도 서귀포시 표선면 표선리 85-2,3지형,교통정보센터
697,제주특별자치도 서귀포시 표선면 하천리 16-1,4지형,교통정보센터
698,제주특별자치도 서귀포시 성산읍 신천리 518-2,4지형,교통정보센터
699,제주특별자치도 서귀포시 성산읍 신풍리 85-1,4지형,교통정보센터
700,제주특별자치도 서귀포시 성산읍 삼달리 29-3,4지형,교통정보센터
701,제주특별자치도 서귀포시 성산읍 신산리 1155-1,4지형,교통정보센터
702,제주특별자치도 서귀포시 성산읍 신산리 1044-4,단일로,교통정보센터
703,제주특별자치도 서귀포시 성산읍 신산리 533-6,5지형,교통정보센터
704,제주특별자치도 서귀포시 성산읍 신산리 680-6,3지형,교통정보센터
705,제주특별자치도 서귀포시 성산읍 온평리 1552-2,3지형,교통정보센터
706,제주특별자치도 서귀포시 성산읍 온평리 1578-1,4지형,교통정보센터
707,제주특별자치도 서귀포시 성산읍 온평리 521-2,3지형,교통정보센터
708,제주특별자치도 서귀포시 성산읍 온평리 593-5,4지형,교통정보센터
709,제주특별자치도 서귀포시 성산읍 고성리 1747,4지형,교통정보센터
710,제주특별자치도 서귀포시 성산읍 고성리 1021-3,3지형,교통정보센터
711,제주특별자치도 서귀포시 성산읍 고성리 1017,4지형,교통정보센터
712,제주특별자치도 서귀포시 성산읍 고성리 1101-3,4지형,교통정보센터
713,제주특별자치도 서귀포시 성산읍 고성리 1178-4,4지형,교통정보센터
714,제주특별자치도 서귀포시 성산읍 오조리 932,5지형,교통정보센터
715,제주특별자치도 서귀포시 성산읍 오조리 664-5,4지형,교통정보센터
716,제주특별자치도 서귀포시 성산읍 오조리 1307-1,3지형,교통정보센터
717,제주특별자치도 서귀포시 성산읍 오조리 446,3지형,교통정보센터
718,제주특별자치도 서귀포시 성산읍 시흥리 281-2,3지형,교통정보센터
719,제주특별자치도 서귀포시 성산읍 시흥리 792,4지형,교통정보센터
720,제주특별자치도 서귀포시 성산읍 시흥리 1206-1,3지형,교통정보센터
721,제주특별자치도 서귀포시 강정동 231-2,3지형,교통정보센터
722,제주특별자치도 서귀포시 강정동 234-2,3지형,교통정보센터
723,제주특별자치도 서귀포시 법환동 1650,3지형,교통정보센터
724,제주특별자치도 서귀포시 강정동 1305 (건너편),3지형,교통정보센터
725,제주특별자치도 서귀포시 강정동 199-1,3지형,교통정보센터
726,제주특별자치도 서귀포시 강정동 210,4지형,교통정보센터
727,제주특별자치도 서귀포시 강정동 190,4지형,교통정보센터
728,제주특별자치도 서귀포시 서귀동 301-16,단일로,교통정보센터
729,제주특별자치도 서귀포시 서홍동 442-8,4지형,교통정보센터
730,제주특별자치도 서귀포시 서귀동 332-3,단일로,교통정보센터
731,제주특별자치도 서귀포시 서홍동 1212-9,4지형,교통정보센터
732,제주특별자치도 서귀포시 서홍동 1352-1,3지형,교통정보센터
733,제주특별자치도 서귀포시 호근동 690-4,3지형,교통정보센터
734,제주특별자치도 서귀포시 서호동 23-2,3지형,교통정보센터
735,제주특별자치도 서귀포시 서호동 140-7,4지형,교통정보센터
736,제주특별자치도 서귀포시 서호동 1549,4지형,교통정보센터
737,제주특별자치도 서귀포시 법환동 730-3,3지형,교통정보센터
738,제주특별자치도 서귀포시 법환동 751,3지형,교통정보센터
739,제주특별자치도 서귀포시 강정동 176,3지형,교통정보센터
740,제주특별자치도 서귀포시 강정동 249-1,3지형,교통정보센터
741,제주특별자치도 서귀포시 강정동 222-4,단일로,교통정보센터
742,제주특별자치도 서귀포시 강정동 1252-3,3지형,교통정보센터
743,제주특별자치도 서귀포시 강정동 2145-1,3지형,교통정보센터
744,제주특별자치도 서귀포시 강정동 4047-7,3지형,교통정보센터
745,제주특별자치도 서귀포시 도순동 266-5,3지형,교통정보센터
746,제주특별자치도 서귀포시 도순동 891-1,3지형,교통정보센터
747,제주특별자치도 서귀포시 하원동 388-5,4지형,교통정보센터
748,제주특별자치도 서귀포시 하원동 403-4,4지형,교통정보센터
749,제주특별자치도 서귀포시 대포동 527-5,3지형,교통정보센터
750,제주특별자치도 서귀포시 회수동 555-3,3지형,교통정보센터
751,제주특별자치도 서귀포시 중문동 1829-6,4지형,교통정보센터
752,제주특별자치도 서귀포시 중문동 1379-4,4지형,교통정보센터
753,제주특별자치도 서귀포시 색달동 2309-5,3지형,교통정보센터
754,제주특별자치도 서귀포시 중문동 1978-4,단일로,교통정보센터
755,제주특별자치도 서귀포시 색달동 2522-3,4지형,교통정보센터
756,제주특별자치도 서귀포시 색달동 2276-1,3지형,교통정보센터
757,제주특별자치도 서귀포시 색달동 2083-2,4지형,교통정보센터
758,제주특별자치도 서귀포시 상예동 1717-6,4지형,교통정보센터
759,제주특별자치도 서귀포시 상예동 1719-5,3지형,교통정보센터
760,제주특별자치도 서귀포시 상예동 3592-8,4지형,교통정보센터
761,제주특별자치도 서귀포시 상예동 4631-9,단일로,교통정보센터
762,제주특별자치도 서귀포시 안덕면 상창리 623-3,3지형,교통정보센터
763,제주특별자치도 서귀포시 안덕면 상창리 1282-1,3지형,교통정보센터
764,제주특별자치도 서귀포시 안덕면 상창리 1219-9,4지형,교통정보센터
765,제주특별자치도 서귀포시 안덕면 상창리 2014,3지형,교통정보센터
